Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,241.429993,241.520004,239.039993,239.919998,239.919998,3822600
2021-02-11,239.360001,240.440002,238.880005,239.759995,239.759995,2908500
2021-02-12,238.070007,242.759995,238.029999,242.460007,242.460007,3421800
2021-02-16,244.139999,247.259995,242.820007,245.279999,245.279999,4722200
2021-02-17,244.139999,246.190002,244.0,245.25,245.25,3909500
2021-02-18,244.729996,245.490005,241.669998,243.5,243.5,4031000
2021-02-19,244.199997,244.949997,241.360001,241.850006,241.850006,4252400
2021-02-22,240.889999,245.979996,240.800003,244.970001,244.970001,4009100
2021-02-23,245.559998,246.570007,243.289993,245.529999,245.529999,5454900
2021-02-24,245.149994,249.550003,245.149994,248.449997,248.449997,5105900
2021-02-25,248.070007,250.559998,242.929993,243.690002,243.690002,6455200
2021-02-26,245.149994,245.149994,240.25,240.509995,240.509995,8085300
2021-03-01,246.860001,250.550003,246.089996,249.210007,249.210007,6332300
2021-03-02,249.119995,251.339996,248.369995,249.220001,249.220001,4684500
2021-03-03,249.729996,254.809998,249.289993,251.550003,251.550003,6088300
2021-03-04,251.080002,252.550003,243.229996,245.479996,245.479996,7827000
2021-03-05,248.889999,253.449997,247.330002,253.149994,253.149994,6397000
2021-03-08,255.600006,260.230011,253.729996,257.609985,257.609985,7124300
2021-03-09,258.549988,262.940002,255.610001,259.019989,259.019989,8259300
2021-03-10,260.299988,267.5,259.640015,263.98999,263.98999,8939300
2021-03-11,264.220001,264.799988,260.420013,260.910004,260.910004,5917600
2021-03-12,262.399994,264.649994,259.670013,260.019989,260.019989,4495400
2021-03-15,260.309998,260.440002,253.520004,254.610001,254.610001,6973400
2021-03-16,254.529999,254.529999,249.820007,251.5,251.5,67200
2021-03-17,252.020004,254.279999,250.660004,252.0,252.0,67700
2021-03-18,253.759995,255.639999,251.380005,252.460007,252.460007,5547300
2021-03-19,252.309998,252.5,248.520004,250.990005,250.990005,16635400
2021-03-22,250.600006,251.669998,248.860001,250.360001,250.360001,5370400
2021-03-23,250.199997,251.169998,247.710007,248.309998,248.309998,4622400
2021-03-24,249.550003,251.889999,248.5,249.630005,249.630005,4165000
2021-03-25,249.380005,251.529999,246.789993,250.75,250.75,5500000
2021-03-26,252.75,257.390015,252.419998,256.769989,256.769989,5799100
2021-03-29,253.929993,260.049988,253.300003,258.820007,258.820007,6642600
2021-03-30,259.940002,261.0,257.23999,258.190002,258.190002,3878000
2021-03-31,256.859985,257.679993,255.169998,255.470001,255.470001,6578100
2021-04-01,255.740005,258.470001,254.800003,258.200012,258.200012,5573400
2021-04-05,260.019989,263.350006,260.0,262.660004,262.660004,5049600
2021-04-06,262.859985,263.339996,261.940002,263.059998,263.059998,3060600
2021-04-07,262.98999,264.339996,262.399994,263.619995,263.619995,3582700
2021-04-08,262.720001,263.929993,261.910004,263.51001,263.51001,3113300
2021-04-09,264.220001,266.23999,263.350006,266.01001,266.01001,6052500
2021-04-12,266.529999,268.339996,266.529999,267.929993,267.929993,4292900
2021-04-13,267.420013,268.200012,266.049988,267.100006,267.100006,3556600
2021-04-14,267.309998,268.440002,267.149994,267.529999,267.529999,3119900
2021-04-15,268.059998,269.279999,266.390015,269.140015,269.140015,3919200
2021-04-16,270.470001,272.970001,270.109985,272.109985,272.109985,4710300
2021-04-19,272.299988,272.920013,268.850006,270.279999,270.279999,4235500
2021-04-20,268.529999,269.309998,266.799988,267.890015,267.890015,3740800
2021-04-21,267.799988,272.459991,267.75,272.209991,272.209991,3897100
2021-04-22,272.040009,272.079987,268.779999,269.51001,269.51001,3732100
2021-04-23,269.859985,272.690002,269.559998,271.980011,271.980011,3684100
2021-04-26,272.279999,273.980011,270.630005,270.859985,270.859985,3569100
2021-04-27,271.070007,274.160004,270.049988,273.649994,273.649994,3173400
2021-04-28,273.540009,273.959991,272.130005,272.950012,272.950012,3176000
2021-04-29,274.470001,277.790009,274.350006,277.600006,277.600006,4540300
2021-04-30,276.290009,277.410004,274.209991,274.950012,274.950012,5212400
2021-05-03,278.549988,281.119995,277.670013,279.179993,279.179993,5184000
2021-05-04,278.540009,280.799988,276.779999,280.26001,280.26001,4465500
2021-05-05,282.519989,284.23999,282.119995,282.76001,282.76001,4348100
2021-05-06,284.690002,290.0,284.049988,289.709991,289.709991,5962900
2021-05-07,289.970001,291.070007,287.769989,290.929993,290.929993,6099200
2021-05-10,292.350006,295.079987,292.070007,292.329987,292.329987,4537800
2021-05-11,289.839996,290.51001,284.290009,285.630005,285.630005,6813500
2021-05-12,285.459991,286.119995,282.549988,282.910004,282.910004,5308800
2021-05-13,282.910004,288.369995,282.850006,286.899994,286.899994,5244100
2021-05-14,288.670013,291.380005,288.670013,290.679993,290.679993,4260600
2021-05-17,289.98999,290.470001,288.070007,289.220001,289.220001,3883300
2021-05-18,290.200012,290.309998,287.23999,287.589996,287.589996,4356300
2021-05-19,284.109985,286.559998,282.570007,286.220001,286.220001,5271300
2021-05-20,288.410004,289.140015,285.899994,286.730011,286.730011,4141600
2021-05-21,287.119995,289.350006,286.75,287.73999,287.73999,4230700
2021-05-24,289.109985,290.410004,287.910004,289.730011,289.730011,3973300
2021-05-25,290.190002,291.600006,287.109985,287.200012,287.200012,4752300
2021-05-26,289.640015,289.640015,285.75,287.329987,287.329987,4756300
2021-05-27,288.570007,289.98999,286.570007,289.299988,289.299988,6602100
2021-05-28,289.679993,290.459991,288.230011,289.440002,289.440002,4522500
2021-06-01,291.519989,292.070007,288.809998,289.839996,289.839996,3335800
2021-06-02,290.850006,290.899994,289.220001,290.019989,290.019989,3517100
2021-06-03,288.359985,293.269989,288.279999,291.970001,291.970001,4099400
2021-06-04,292.910004,293.079987,291.450012,292.519989,292.519989,3271100
2021-06-07,292.559998,292.579987,288.839996,289.459991,289.459991,4441000
2021-06-08,289.179993,289.899994,285.700012,289.190002,289.190002,5035900
2021-06-09,288.880005,289.089996,287.049988,288.579987,288.579987,3501800
2021-06-10,289.880005,290.809998,284.679993,284.910004,284.910004,4039200
2021-06-11,285.450012,287.359985,285.019989,286.820007,286.820007,3524200
2021-06-14,286.660004,286.850006,281.519989,283.529999,283.529999,6100500
2021-06-15,284.459991,284.959991,282.649994,283.940002,283.940002,3758700
2021-06-16,283.730011,284.799988,281.079987,283.109985,283.109985,5626800
2021-06-17,284.290009,284.5,277.559998,278.690002,278.690002,7134200
2021-06-18,276.5,276.980011,272.459991,274.040009,274.040009,12565800
2021-06-21,275.619995,278.850006,275.429993,277.100006,277.100006,5482700
2021-06-22,277.570007,277.709991,275.929993,276.920013,276.920013,5224700
2021-06-23,276.890015,277.0,274.549988,274.660004,274.660004,4533100
2021-06-24,275.0,276.579987,274.049988,275.48999,275.48999,5453900
2021-06-25,276.369995,279.309998,275.350006,278.380005,278.380005,5577100
