Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,272.450012,273.799988,267.720001,271.869995,271.869995,14687200
2021-02-11,271.890015,273.579987,268.48999,270.390015,270.390015,12828600
2021-02-12,270.519989,271.179993,268.339996,270.5,270.5,9097600
2021-02-16,270.799988,276.600006,270.049988,273.970001,273.970001,15417200
2021-02-17,271.23999,273.970001,269.579987,273.570007,273.570007,12763200
2021-02-18,269.570007,271.950012,266.029999,269.390015,269.390015,15249100
2021-02-19,269.859985,270.269989,260.149994,261.559998,261.559998,25622600
2021-02-22,257.950012,263.070007,257.529999,260.329987,260.329987,17434900
2021-02-23,259.5,267.459991,254.960007,265.859985,265.859985,21924600
2021-02-24,262.329987,266.380005,258.390015,264.309998,264.309998,15736100
2021-02-25,262.299988,266.940002,254.039993,254.690002,254.690002,19053100
2021-02-26,256.470001,265.549988,256.470001,257.619995,257.619995,26619500
2021-03-01,260.820007,266.649994,257.899994,264.910004,264.910004,22157300
2021-03-02,265.779999,266.709991,258.649994,259.0,259.0,15191700
2021-03-03,260.290009,260.98999,255.100006,255.410004,255.410004,15513500
2021-03-04,256.470001,266.48999,253.5,257.640015,257.640015,31626500
2021-03-05,260.670013,265.450012,255.610001,264.279999,264.279999,26820100
2021-03-08,265.549988,265.579987,255.050003,255.309998,255.309998,18391800
2021-03-09,261.179993,268.529999,259.809998,265.73999,265.73999,22039700
2021-03-10,268.640015,268.970001,262.869995,264.899994,264.899994,14210300
2021-03-11,268.109985,277.899994,267.820007,273.880005,273.880005,21834000
2021-03-12,269.140015,269.73999,264.019989,268.399994,268.399994,20600200
2021-03-15,269.079987,275.959991,268.5,273.75,273.75,16844800
2021-03-16,276.079987,282.140015,274.799988,279.279999,279.279999,22437700
2021-03-17,275.709991,286.230011,275.410004,284.01001,284.01001,21315000
2021-03-18,279.869995,285.190002,278.279999,278.619995,278.619995,18728300
2021-03-19,281.220001,292.799988,281.200012,290.109985,290.109985,38930500
2021-03-22,290.450012,299.709991,286.75,293.540009,293.540009,28273100
2021-03-23,293.149994,298.0,289.809998,290.630005,290.630005,23000900
2021-03-24,291.0,291.720001,281.160004,282.140015,282.140015,18675000
2021-03-25,280.980011,288.059998,277.75,278.73999,278.73999,24505600
2021-03-26,278.299988,284.5,277.769989,283.019989,283.019989,17629200
2021-03-29,285.769989,293.179993,284.700012,290.820007,290.820007,21718800
2021-03-30,289.829987,292.470001,286.700012,288.0,288.0,17474500
2021-03-31,289.98999,296.5,288.609985,294.529999,294.529999,19498200
2021-04-01,298.399994,302.399994,296.600006,298.660004,298.660004,17616000
2021-04-05,300.890015,310.769989,300.679993,308.910004,308.910004,28237000
2021-04-06,308.839996,311.350006,305.25,306.26001,306.26001,17335200
2021-04-07,306.339996,314.25,305.5,313.089996,313.089996,22855200
2021-04-08,314.850006,315.880005,310.049988,313.019989,313.019989,20894100
2021-04-09,311.399994,314.73999,310.329987,312.459991,312.459991,15988600
2021-04-12,311.049988,312.149994,307.929993,311.540009,311.540009,10881900
2021-04-13,312.209991,314.429993,309.320007,309.76001,309.76001,14036900
2021-04-14,307.299988,308.029999,301.950012,302.820007,302.820007,17421400
2021-04-15,306.339996,310.140015,304.100006,307.820007,307.820007,14558300
2021-04-16,308.170013,308.950012,304.609985,306.179993,306.179993,13059200
2021-04-19,305.01001,307.700012,300.559998,302.23999,302.23999,14553500
2021-04-20,301.98999,305.100006,297.209991,302.649994,302.649994,16796400
2021-04-21,301.950012,301.980011,297.390015,301.470001,301.470001,14863500
2021-04-22,301.329987,302.920013,296.040009,296.519989,296.519989,16375400
2021-04-23,298.76001,302.589996,297.149994,301.130005,301.130005,17536800
2021-04-26,303.339996,305.799988,301.559998,303.040009,303.040009,16172600
2021-04-27,304.279999,305.339996,301.109985,303.570007,303.570007,15309300
2021-04-28,307.359985,310.920013,305.369995,307.100006,307.100006,33907200
2021-04-29,330.119995,331.809998,321.609985,329.51001,329.51001,56526800
2021-04-30,326.140015,329.820007,324.5,325.079987,325.079987,26332400
2021-05-03,326.170013,328.549988,321.839996,322.579987,322.579987,18719500
2021-05-04,320.019989,322.190002,313.119995,318.359985,318.359985,24032600
2021-05-05,318.190002,321.059998,314.48999,315.019989,315.019989,15577600
2021-05-06,314.519989,320.23999,313.269989,320.019989,320.019989,19012200
2021-05-07,322.380005,322.940002,318.75,319.079987,319.079987,15916700
2021-05-10,314.350006,314.579987,304.829987,305.970001,305.970001,24239200
2021-05-11,300.75,306.839996,299.690002,306.529999,306.529999,18920100
2021-05-12,301.130005,304.959991,298.190002,302.549988,302.549988,24645500
2021-05-13,306.079987,308.859985,302.769989,305.26001,305.26001,18079200
2021-05-14,309.540009,316.850006,309.079987,315.940002,315.940002,19245700
2021-05-17,313.549988,315.679993,311.579987,315.459991,315.459991,15401300
2021-05-18,315.589996,316.5,309.809998,309.959991,309.959991,14522400
2021-05-19,304.190002,314.660004,303.570007,313.589996,313.589996,19106200
2021-05-20,313.579987,319.25,313.160004,318.609985,318.609985,17320200
2021-05-21,319.290009,319.929993,315.809998,316.230011,316.230011,13600900
2021-05-24,318.209991,325.950012,318.029999,324.630005,324.630005,16445400
2021-05-25,327.079987,329.179993,324.799988,327.790009,327.790009,16437000
2021-05-26,328.350006,329.829987,325.820007,327.660004,327.660004,9686900
2021-05-27,328.0,333.779999,326.76001,332.75,332.75,20477700
2021-05-28,331.0,332.869995,328.329987,328.730011,328.730011,12037400
2021-06-01,330.149994,331.420013,326.640015,329.130005,329.130005,11765900
2021-06-02,330.380005,331.869995,327.119995,329.149994,329.149994,11654300
2021-06-03,325.779999,327.380005,323.480011,326.040009,326.040009,12610800
2021-06-04,325.899994,332.459991,325.179993,330.350006,330.350006,13289400
